Platform,Size,ExecutionTime
Sk,1,0.11113124998519197
Spark,1,5.146394041948952
Sk,2,0.13174404198070988
Spark,2,1.6840378749766387
Sk,3,0.2165169579675421
Spark,3,1.702345875033643
Sk,4,0.38549375004367903
Spark,4,1.748715334048029
Sk,5,0.7091591249918565
Spark,5,2.122233417001553
Sk,6,1.403096167021431
Spark,6,2.1827115840278566
Sk,7,2.754107541986741
Spark,7,2.385242957971059
Sk,8,5.51071016700007
Spark,8,3.3147167499992065
Sk,9,11.425329708959907
Spark,9,4.595909833034966
Sk,10,24.189385208010208
Spark,10,7.180546291987412
