iter	Passed	Remaining
0	56	56323
1	58	29275
2	60	20239
3	64	16061
4	68	13572
5	70	11675
6	72	10310
7	74	9285
8	77	8491
9	79	7848
10	81	7322
11	83	6889
12	85	6520
13	88	6200
14	90	5928
15	93	5767
16	98	5693
17	108	5893
18	109	5651
19	110	5428
20	111	5219
21	113	5028
22	114	4853
23	115	4704
24	116	4562
25	118	4436
26	119	4318
27	121	4204
28	122	4101
29	123	3994
30	124	3899
31	125	3811
32	127	3729
33	128	3647
34	129	3576
35	131	3508
36	132	3443
37	133	3378
38	134	3317
39	135	3259
40	137	3209
41	138	3158
42	139	3111
43	141	3063
44	142	3020
45	143	2979
46	144	2939
47	146	2898
48	147	2859
49	148	2821
50	149	2784
51	151	2753
52	152	2720
53	153	2688
54	154	2657
55	156	2629
56	157	2603
57	158	2576
58	159	2548
59	161	2525
60	162	2500
61	163	2479
62	165	2457
63	166	2432
64	167	2413
65	169	2393
66	170	2374
67	171	2353
68	172	2332
69	174	2315
70	175	2299
71	176	2280
72	178	2263
73	179	2244
74	180	2230
75	182	2214
76	183	2198
77	184	2180
78	185	2165
79	186	2149
80	188	2134
81	189	2120
82	190	2104
83	192	2094
84	194	2090
85	195	2078
86	197	2067
87	198	2056
88	199	2043
89	200	2030
90	201	2017
91	203	2007
92	204	1997
93	206	1986
94	207	1976
95	208	1966
96	210	1957
97	211	1947
98	212	1936
99	214	1927
100	215	1917
101	217	1910
102	218	1900
103	219	1890
104	220	1882
105	222	1872
106	223	1864
107	224	1855
108	226	1847
109	227	1840
110	228	1831
111	230	1823
112	231	1815
113	232	1807
114	233	1799
115	235	1791
116	236	1785
117	237	1777
118	239	1770
119	240	1762
120	241	1756
121	242	1747
122	244	1741
123	245	1733
124	246	1727
125	248	1720
126	249	1714
127	250	1709
128	252	1703
129	253	1695
130	254	1689
131	255	1682
132	257	1677
133	258	1670
134	259	1664
135	261	1659
136	262	1652
137	263	1646
138	265	1643
139	266	1637
140	267	1632
141	269	1626
142	270	1619
143	271	1614
144	272	1608
145	274	1603
146	275	1597
147	276	1592
148	277	1587
149	279	1582
150	280	1578
151	281	1573
152	283	1568
153	284	1563
154	285	1558
155	287	1554
156	288	1549
157	289	1545
158	291	1540
159	292	1534
160	293	1529
161	294	1525
162	296	1522
163	298	1523
164	300	1521
165	302	1517
166	305	1522
167	307	1524
168	309	1522
169	310	1517
170	311	1512
171	313	1507
172	314	1504
173	315	1499
174	317	1495
175	318	1490
176	319	1485
177	320	1481
178	322	1477
179	323	1473
180	324	1468
181	325	1464
182	326	1459
183	328	1456
184	329	1452
185	331	1449
186	332	1445
187	334	1442
188	335	1439
189	336	1434
190	337	1430
191	338	1426
192	340	1421
193	341	1419
194	343	1416
195	344	1412
196	345	1409
197	346	1405
198	348	1401
199	349	1398
200	350	1395
201	352	1391
202	353	1387
203	354	1383
204	355	1380
205	357	1377
206	358	1374
207	360	1371
208	361	1368
209	362	1365
210	364	1361
211	365	1357
212	367	1356
213	368	1352
214	369	1348
215	370	1345
216	371	1342
217	373	1339
218	374	1337
219	376	1334
220	377	1331
221	378	1328
222	380	1324
223	381	1321
224	382	1317
225	383	1313
226	385	1311
227	386	1307
228	387	1304
229	388	1301
230	389	1297
231	390	1294
232	392	1291
233	393	1287
234	394	1284
235	395	1281
236	397	1278
237	398	1275
238	399	1272
239	400	1269
240	402	1268
241	404	1265
242	405	1262
243	406	1259
244	407	1256
245	408	1253
246	410	1250
247	411	1248
248	413	1246
249	414	1242
250	415	1239
251	416	1236
252	417	1233
253	419	1231
254	421	1231
255	422	1227
256	423	1225
257	425	1222
258	426	1219
259	427	1216
260	428	1213
261	429	1210
262	431	1208
263	432	1205
264	433	1203
265	435	1201
266	436	1198
267	437	1195
268	439	1193
269	440	1190
270	441	1187
271	442	1185
272	443	1181
273	445	1179
274	446	1177
275	447	1174
276	449	1172
277	450	1169
278	451	1166
279	452	1164
280	453	1161
281	455	1159
282	456	1157
283	458	1154
284	459	1153
285	461	1151
286	462	1148
287	463	1146
288	464	1143
289	466	1141
290	467	1139
291	469	1137
292	470	1136
293	472	1134
294	473	1132
295	474	1129
296	476	1127
297	477	1125
298	478	1122
299	480	1120
300	481	1118
301	483	1116
302	484	1113
303	485	1111
304	487	1109
305	488	1107
306	489	1104
307	490	1102
308	492	1100
309	493	1097
310	494	1095
311	495	1092
312	497	1090
313	498	1088
314	499	1087
315	501	1084
316	503	1084
317	505	1083
318	506	1080
319	507	1078
320	508	1076
321	510	1073
322	511	1071
323	512	1069
324	513	1067
325	515	1065
326	516	1062
327	517	1060
328	519	1058
329	520	1056
330	521	1054
331	523	1052
332	525	1053
333	527	1051
334	529	1050
335	530	1048
336	532	1046
337	533	1045
338	535	1043
339	536	1042
340	538	1040
341	539	1038
342	540	1036
343	542	1034
344	544	1032
345	546	1032
346	547	1030
347	548	1028
348	550	1026
349	551	1024
350	552	1021
351	553	1019
352	555	1017
353	556	1015
354	557	1013
355	559	1011
356	560	1009
357	561	1007
358	562	1005
359	564	1003
360	565	1001
361	567	999
362	568	997
363	569	995
364	571	993
365	572	991
366	573	990
367	575	988
368	576	986
369	577	984
370	579	982
371	580	980
372	582	978
373	584	977
374	585	975
375	586	973
376	587	971
377	588	969
378	590	967
379	591	964
380	592	962
381	593	960
382	594	958
383	596	956
384	597	954
385	599	952
386	600	950
387	601	948
388	602	946
389	604	944
390	605	942
391	606	940
392	607	938
393	609	936
394	610	935
395	611	933
396	613	931
397	614	929
398	615	927
399	616	925
400	618	923
401	619	921
402	620	919
403	621	917
404	622	915
405	624	913
406	625	911
407	626	909
408	627	907
409	628	904
410	630	903
411	631	901
412	632	899
413	634	897
414	635	895
415	636	893
416	638	892
417	639	890
418	640	888
419	641	886
420	643	884
421	644	882
422	645	881
423	647	879
424	648	877
425	649	875
426	651	874
427	653	872
428	654	871
429	655	869
430	657	867
431	658	865
432	659	864
433	661	862
434	662	860
435	664	858
436	665	857
437	666	855
438	667	853
439	669	852
440	670	850
441	671	848
442	673	846
443	674	844
444	676	843
445	677	841
446	678	839
447	680	838
448	681	836
449	683	834
450	684	833
451	685	831
452	687	829
453	688	828
454	690	827
455	691	825
456	693	823
457	695	822
458	696	820
459	698	819
460	699	818
461	701	816
462	702	814
463	704	813
464	705	811
465	707	810
466	708	808
467	710	807
468	711	805
469	712	803
470	713	801
471	715	800
472	716	798
473	717	796
474	719	794
475	720	793
476	721	791
477	723	790
478	724	788
479	726	786
480	727	784
481	728	783
482	730	781
483	731	780
484	732	778
485	734	776
486	735	774
487	736	773
488	738	771
489	739	770
490	741	768
491	742	767
492	744	765
493	745	763
494	746	761
495	748	760
496	749	758
497	750	756
498	751	754
499	753	753
500	754	751
501	756	750
502	757	748
503	758	746
504	759	744
505	761	743
506	762	741
507	764	739
508	765	738
509	766	736
510	768	735
511	770	733
512	771	732
513	772	730
514	774	729
515	775	727
516	776	725
517	778	724
518	780	723
519	781	721
520	782	719
521	784	717
522	785	716
523	786	714
524	788	712
525	789	711
526	791	709
527	792	708
528	793	706
529	794	704
530	796	703
531	798	702
532	799	700
533	800	698
534	801	696
535	803	695
536	805	694
537	807	693
538	808	691
539	815	694
540	816	693
541	818	691
542	819	690
543	821	688
544	823	687
545	825	686
546	832	689
547	833	687
548	835	686
549	837	685
550	838	683
551	839	681
552	841	679
553	842	678
554	843	676
555	846	675
556	848	674
557	850	673
558	852	672
559	854	671
560	855	669
561	856	667
562	858	666
563	859	664
564	861	663
565	863	661
566	864	660
567	865	658
568	867	657
569	869	655
570	870	654
571	872	652
572	873	650
573	874	648
574	875	647
575	877	645
576	878	644
577	879	642
578	881	640
579	882	639
580	883	637
581	885	636
582	888	635
583	889	633
584	890	632
585	892	630
586	894	629
587	895	627
588	896	625
589	897	623
590	899	622
591	900	620
592	901	618
593	902	617
594	904	615
595	905	613
596	906	611
597	908	610
598	909	608
599	911	607
600	914	606
601	920	608
602	921	606
603	922	604
604	923	603
605	926	602
606	927	600
607	928	598
608	929	596
609	932	596
610	933	594
611	934	592
612	936	590
613	937	589
614	939	587
615	940	586
616	942	584
617	943	583
618	944	581
619	945	579
620	947	578
621	949	576
622	951	575
623	952	573
624	953	572
625	954	570
626	956	568
627	957	567
628	959	565
629	960	564
630	962	562
631	963	560
632	964	559
633	966	557
634	967	556
635	968	554
636	969	552
637	971	550
638	972	549
639	974	547
640	975	546
641	976	544
642	978	543
643	979	541
644	980	539
645	982	538
646	983	536
647	985	535
648	986	533
649	988	532
650	990	530
651	991	529
652	992	527
653	994	526
654	995	524
655	997	523
656	999	521
657	1000	519
658	1001	518
659	1002	516
660	1004	514
661	1005	513
662	1006	511
663	1008	510
664	1009	508
665	1010	506
666	1011	505
667	1013	503
668	1014	501
669	1015	500
670	1016	498
671	1018	496
672	1019	495
673	1020	493
674	1022	492
675	1023	490
676	1024	488
677	1025	487
678	1027	485
679	1028	484
680	1029	482
681	1031	480
682	1032	479
683	1033	477
684	1035	475
685	1036	474
686	1037	472
687	1039	471
688	1040	469
689	1041	468
690	1043	466
691	1044	464
692	1045	463
693	1046	461
694	1049	460
695	1050	458
696	1051	457
697	1053	455
698	1054	454
699	1055	452
700	1057	450
701	1058	449
702	1060	448
703	1061	446
704	1063	444
705	1064	443
706	1065	441
707	1066	440
708	1068	438
709	1070	437
710	1071	435
711	1072	433
712	1074	432
713	1075	430
714	1077	429
715	1078	427
716	1079	426
717	1082	425
718	1084	423
719	1085	422
720	1086	420
721	1088	419
722	1090	417
723	1092	416
724	1093	414
725	1095	413
726	1096	411
727	1097	410
728	1098	408
729	1100	406
730	1101	405
731	1102	403
732	1103	402
733	1105	400
734	1106	399
735	1107	397
736	1109	395
737	1110	394
738	1112	393
739	1114	391
740	1115	390
741	1117	388
742	1118	386
743	1119	385
744	1121	383
745	1122	382
746	1123	380
747	1125	379
748	1126	377
749	1128	376
750	1129	374
751	1130	372
752	1132	371
753	1134	370
754	1137	369
755	1138	367
756	1140	366
757	1141	364
758	1143	363
759	1144	361
760	1146	359
761	1147	358
762	1148	356
763	1149	355
764	1151	353
765	1152	352
766	1154	350
767	1155	349
768	1157	347
769	1159	346
770	1160	344
771	1161	343
772	1163	341
773	1165	340
774	1166	338
775	1168	337
776	1169	335
777	1170	333
778	1171	332
779	1173	330
780	1174	329
781	1177	328
782	1179	326
783	1181	325
784	1183	324
785	1185	322
786	1187	321
787	1189	320
788	1198	320
789	1200	319
790	1201	317
791	1202	315
792	1204	314
793	1205	312
794	1206	311
795	1208	309
796	1210	308
797	1211	306
798	1213	305
799	1216	304
800	1218	302
801	1220	301
802	1221	299
803	1223	298
804	1224	296
805	1225	295
806	1227	293
807	1228	291
808	1230	290
809	1231	288
810	1232	287
811	1234	285
812	1235	284
813	1236	282
814	1237	280
815	1238	279
816	1242	278
817	1243	276
818	1244	275
819	1246	273
820	1248	272
821	1249	270
822	1250	269
823	1251	267
824	1253	265
825	1255	264
826	1256	262
827	1257	261
828	1258	259
829	1260	258
830	1261	256
831	1262	254
832	1264	253
833	1265	251
834	1266	250
835	1267	248
836	1269	247
837	1270	245
838	1271	243
839	1274	242
840	1276	241
841	1277	239
842	1279	238
843	1280	236
844	1281	235
845	1282	233
846	1284	231
847	1285	230
848	1286	228
849	1287	227
850	1289	225
851	1290	224
852	1292	222
853	1293	221
854	1295	219
855	1296	218
856	1298	216
857	1299	215
858	1300	213
859	1301	211
860	1302	210
861	1304	208
862	1306	207
863	1307	205
864	1308	204
865	1310	202
866	1311	201
867	1312	199
868	1313	198
869	1315	196
870	1316	195
871	1318	193
872	1319	191
873	1320	190
874	1322	188
875	1323	187
876	1324	185
877	1326	184
878	1328	182
879	1329	181
880	1330	179
881	1331	178
882	1332	176
883	1333	175
884	1335	173
885	1336	171
886	1338	170
887	1339	168
888	1340	167
889	1342	165
890	1343	164
891	1344	162
892	1345	161
893	1346	159
894	1347	158
895	1348	156
896	1350	155
897	1351	153
898	1352	151
899	1353	150
900	1355	148
901	1356	147
902	1357	145
903	1358	144
904	1359	142
905	1361	141
906	1362	139
907	1363	138
908	1364	136
909	1365	135
910	1366	133
911	1367	131
912	1369	130
913	1370	128
914	1371	127
915	1372	125
916	1373	124
917	1374	122
918	1376	121
919	1377	119
920	1378	118
921	1380	116
922	1381	115
923	1382	113
924	1383	112
925	1384	110
926	1386	109
927	1388	107
928	1389	106
929	1391	104
930	1393	103
931	1394	101
932	1395	100
933	1396	98
934	1397	97
935	1398	95
936	1399	94
937	1401	92
938	1402	91
939	1404	89
940	1405	88
941	1407	86
942	1409	85
943	1410	83
944	1411	82
945	1412	80
946	1413	79
947	1415	77
948	1416	76
949	1417	74
950	1418	73
951	1420	71
952	1421	70
953	1422	68
954	1423	67
955	1425	65
956	1426	64
957	1428	62
958	1429	61
959	1431	59
960	1433	58
961	1434	56
962	1435	55
963	1436	53
964	1438	52
965	1440	50
966	1442	49
967	1443	47
968	1444	46
969	1445	44
970	1446	43
971	1448	41
972	1449	40
973	1450	38
974	1452	37
975	1453	35
976	1454	34
977	1455	32
978	1457	31
979	1458	29
980	1459	28
981	1461	26
982	1462	25
983	1463	23
984	1464	22
985	1465	20
986	1466	19
987	1468	17
988	1469	16
989	1471	14
990	1473	13
991	1474	11
992	1476	10
993	1477	8
994	1478	7
995	1479	5
996	1480	4
997	1482	2
998	1483	1
999	1485	0
